enhancer	promoter	correlation	p.value
chr1:941791-942135	chr1:713985..714054,-	0.0966504236409115	3.50296145691791e-05
chr1:941791-942135	chr1:762885..762905,-	0.020086033043966	0.390867764904291
chr1:941791-942135	chr1:763033..763058,+	0.0361184296644778	0.122764753281839
chr1:941791-942135	chr1:763094..763106,+	0.0620819037249074	0.00794643344667045
chr1:941791-942135	chr1:894620..894659,-	-0.0563285794199465	0.0160428062121766
chr1:941791-942135	chr1:895930..896033,+	-0.0498137964110018	0.0332479217464518
chr1:941791-942135	chr1:901847..901907,+	0.0304778480177864	0.192869086238894
chr1:941791-942135	chr1:917466..917485,-	0.017329137603471	0.459145122257102
chr1:941791-942135	chr1:935467..935484,-	0.113101195230414	1.25606996268387e-06
chr1:941791-942135	chr1:948866..948885,+	0.053471930600541	0.0222750808491116
chr1:941791-942135	chr1:955448..955508,+	-0.0177314854095123	0.448783200383489
chr1:941791-942135	chr1:1009683..1009688,-	0.174370969311676	6.11102064453882e-14
chr1:941791-942135	chr1:1051455..1051495,-	-0.047567180382514	0.0420582562639143
chr1:941791-942135	chr1:1141900..1141911,-	0.0339240341202207	0.147210825765299
chr1:941791-942135	chr1:1141927..1141985,-	0.00253436573648107	0.913794611109029
chr1:941791-942135	chr1:1149526..1149539,-	0.0500065658044578	0.0325714837010412
chr1:941791-942135	chr1:1167346..1167392,-	-0.11210322177627	1.55881753669147e-06
chr1:941791-942135	chr1:1167594..1167668,+	-0.0491788613619945	0.0355615149849854
chr1:941791-942135	chr1:1209195..1209254,-	-0.0921924234427201	7.93584706623936e-05
chr1:941791-942135	chr1:1243252..1243318,-	-0.031046588708777	0.184691044101221
chr1:941791-942135	chr1:1243966..1244033,+	-0.0727366656050652	0.00186450245344326
chr1:941791-942135	chr1:1260011..1260064,-	-0.0736906208914891	0.00162201007252157
chr1:941791-942135	chr1:1260169..1260242,+	-0.100949235124711	1.53915040230492e-05
chr1:941791-942135	chr1:1266654..1266669,+	0.0388534947425039	0.0968698938116651
chr1:941791-942135	chr1:1284748..1284809,-	-0.0286965804404193	0.220197544242603
chr1:941791-942135	chr1:1310530..1310603,-	-0.0677414164460577	0.00376934586156794
chr1:941791-942135	chr1:1334685..1334722,-	-0.00349105276810024	0.88146062883023
chr1:941791-942135	chr1:1334914..1334972,+	-0.0200771632455507	0.391077058093337
chr1:941791-942135	chr1:1335180..1335196,+	0.00876281092061246	0.70817863586641
chr1:941791-942135	chr1:1342617..1342691,-	-0.064316897550379	0.00595788390510165
chr1:941791-942135	chr1:1356628..1356678,-	0.100867287451411	1.56395663328645e-05
chr1:941791-942135	chr1:1361245..1361298,+	0.0623767241682548	0.00765391681499346
chr1:941791-942135	chr1:1371047..1371119,+	0.0349794612806363	0.13502515600145
chr1:941791-942135	chr1:1407133..1407170,+	0.00719961397561372	0.75844037276099
chr1:941791-942135	chr1:1447517..1447556,+	-0.0329162764798652	0.159613566974766
chr1:941791-942135	chr1:1475968..1476017,-	-0.0457966720223633	0.0503247112087063
chr1:941791-942135	chr1:1510204..1510267,-	-0.0204474075955175	0.382398615321399
chr1:941791-942135	chr1:1535455..1535568,-	-0.0565656224997632	0.0156022336341989
chr1:941791-942135	chr1:1551220..1551320,+	-0.0138365973430869	0.554488914766318
chr1:941791-942135	chr1:1567546..1567574,+	0.0403948872110259	0.084322501828547
chr1:941791-942135	chr1:1567682..1567692,+	0.0526861805327725	0.0243216111552145
chr1:941791-942135	chr1:1655723..1655803,-	0.0806057348961304	0.00056346029082389
chr1:941791-942135	chr1:1677507..1677512,-	-0.0141088517394642	0.546723022427456
chr1:941791-942135	chr1:1822495..1822571,-	-0.0482296493149338	0.0392754905340353
chr1:941791-942135	chr1:1850703..1850724,-	0.0817047835840202	0.000472646989895547
chr1:941791-942135	chr1:1935219..1935231,-	0.0873330149836796	0.000185859262261635
chr1:941791-942135	chr1:1950763..1950815,+	0.0745978929112719	0.00141863050492131
chr1:941791-942135	chr1:2322973..2323005,-	0.0209736969700807	0.370267425507438
chr1:941791-942135	chr1:2323260..2323307,+	-0.122905828072182	1.36564586168348e-07
chr1:941791-942135	chr1:2343951..2344018,-	-0.0792342798134939	0.00069954713532352
chr1:941791-942135	chr1:2398876..2398928,+	0.0409630764867344	0.0800426976534755
chr1:941791-942135	chr1:2458026..2458056,-	-0.00850513555997139	0.716383518384789
chr1:941791-942135	chr1:2461692..2461710,-	0.0873915064910528	0.00018401104233559
chr1:941791-942135	chr1:2487990..2488033,+	0.000182522431155221	0.993779520654343
chr1:941791-942135	chr1:2488426..2488475,-	0.020747435115897	0.375453300511155
chr1:941791-942135	chr1:2488477..2488501,-	0.0333992696104004	0.153574102743906
chr1:941791-942135	chr1:2518202..2518291,+	-0.0735259307741429	0.00166168526382743
chr1:941791-942135	chr1:2938044..2938088,+	0.0787026071526505	0.000760072810320567
chr1:941791-942135	chr1:2985760..2985774,+	0.0424534202096432	0.0696499609669811
chr1:941791-942135	chr1:3371222..3371243,+	0.151759035853921	7.0280015355802e-11
chr1:941791-942135	chr1:3541543..3541658,+	-0.0312297633171285	0.182112514165345
chr1:941791-942135	chr1:3566630..3566676,-	-0.0183932455062919	0.432032348955922
chr1:941791-942135	chr1:3569072..3569093,+	0.0663006068273187	0.00458120676166499
chr1:941791-942135	chr1:3663901..3663958,-	-0.00595530904559933	0.799203297509439
chr1:941791-942135	chr1:3669006..3669028,+	0.0146482876296816	0.531496661334392
chr1:941791-942135	chr1:3689211..3689226,+	-0.0575467122045016	0.0138898821254402
